date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-12-24,1169691.191104294,1205010.0381823694,1130441.7672608078,1177258.7620793118,1207435.8723448524,1246703.8638973618,1173495.2551243443
2020-12-28,1172545.7597688448,1211174.064774624,1138071.4844484297,1180332.9887753262,1218084.5299299965,1270220.73364594,1181426.0734408393
2020-12-29,1170381.482005478,1206433.6959353602,1137819.6702126586,1174897.7267666592,1213795.1014250526,1260919.7545671219,1178772.0698950845
2020-12-30,1172387.4116090548,1207318.3507739222,1135828.3463695038,1175655.5940686,1217860.5733031044,1256539.2905723264,1181643.66074898
2020-12-31,1183342.309298874,1215380.9103556788,1140462.6991825835,1182300.7309208645,1225813.649795414,1255864.957243916,1189294.7347969692
2021-01-04,1168963.4791406405,1200096.3009425318,1115965.4083401076,1167284.4695912136,1210710.9136885414,1237448.3336903434,1174427.8372109965
2021-01-05,1172469.5161622774,1207070.758778683,1124994.074235028,1175385.3729687466,1218513.304191471,1241764.6985438413,1180944.2241839906
2021-01-06,1198585.8474839937,1229460.7826396143,1123836.962403153,1192677.958459927,1241330.0174254188,1226634.6762859942,1197956.1061054985
2021-01-07,1200237.8214944613,1241201.1242953455,1132953.7999331062,1199354.602815701,1249788.128448368,1249378.4288600038,1206182.2269040216
2021-01-08,1197848.7406076204,1242577.9519244349,1134646.305668122,1202236.8191166653,1249979.7688292274,1258984.002351709,1208393.2387798717
2021-01-11,1195213.420123459,1238491.7602740442,1126989.8859216429,1196014.1563244595,1247561.797538639,1242664.6989332002,1204923.225908296
2021-01-12,1199946.7930635225,1244330.423859707,1120114.3868002822,1198635.1512165798,1250733.4822081337,1239687.2389890326,1207254.6811249272
2021-01-13,1197838.907348038,1242288.9349566614,1120343.2034400832,1193338.7927685513,1247271.7763212929,1247212.939279973,1206936.0792694774
2021-01-14,1200272.2476915133,1239186.0216838038,1114586.1870834702,1188579.674135281,1240735.6435850868,1224618.8573221825,1204254.9057703519
2021-01-15,1194968.219645859,1229991.4902239954,1111579.222562024,1182969.1105442776,1233753.1395109901,1222290.498781317,1197369.371721391
2021-01-19,1195638.435435654,1233568.4883586084,1124514.0977341048,1189600.6713314785,1235989.6521681556,1226213.9475284298,1201884.5929667768
2021-01-20,1195275.7199243319,1240895.8718882715,1142969.9630524032,1198693.5121823086,1241561.0302656898,1251999.3321013541,1211905.9798183406
2021-01-21,1195105.665160538,1240179.4949351465,1138194.003553044,1197461.8634053005,1241789.7786406288,1276899.3250203258,1211424.1305614922
2021-01-22,1179919.1297563326,1234382.343758694,1132918.0074066587,1189108.5363636746,1232651.9331587562,1286076.1684636492,1204468.6224985428
2021-01-25,1180675.3810418856,1228862.0869380152,1137626.5858149612,1185331.8234234585,1225556.090255619,1303183.7925644186,1203030.8917816204
2021-01-26,1172441.1932863009,1221642.0981455958,1142860.3349554641,1182836.6068745388,1221468.9915999183,1301419.0029886293,1202137.167281912
2021-01-27,1140615.0463403475,1193297.1606494104,1123171.4216627928,1154189.317972256,1190584.5301665077,1279150.6510346988,1177509.1983194093
2021-01-28,1152347.0448411715,1211615.6493464625,1133301.41814465,1165509.923051907,1205049.7704771766,1269093.6099725002,1189174.291456188
2021-01-29,1131251.8881868136,1188993.7556315577,1110767.9530783163,1147738.0716610684,1184184.8347090492,1233901.5211005213,1165051.4711239557
2021-02-01,1138485.7908204806,1200111.2449008143,1123642.2610958181,1153012.627348019,1193469.424934269,1249432.9130024635,1173961.5461676705
2021-02-02,1152710.4804643404,1223908.8510752833,1133147.4579151657,1172517.594232632,1217788.4656142006,1262685.6925757742,1192442.199339421
2021-02-03,1151008.1562722933,1228808.1849223292,1140715.1871422583,1176676.8922520413,1220295.4479597816,1259833.7948349235,1193844.9430493491
2021-02-04,1158813.7736200106,1238111.4747134363,1149620.6124040305,1182297.8668614163,1235441.335731388,1280758.9294482765,1206757.3495482807
2021-02-05,1164447.206805588,1240567.7466708338,1149566.3159905784,1182867.9028836025,1236617.235038639,1276803.3265336342,1210343.8592869632
2021-02-08,1171937.8693155062,1249985.2339755213,1154518.8014453284,1191049.4939022793,1248998.4276732216,1277021.0034226468,1219576.4826598018
2021-02-09,1170762.1744188082,1250570.464196316,1161715.4437604758,1194756.1654492153,1250593.9396971473,1272189.5623695543,1219187.9067903634
2021-02-10,1169916.609855057,1253156.0366030848,1157538.6080288398,1195105.2436619534,1253235.3884810219,1272774.1013032966,1221597.0771808822
2021-02-11,1170300.1492341768,1254714.1026698267,1157634.7749676215,1195731.1426525845,1252777.2598646889,1275990.6955341431,1221321.1275986012
2021-02-12,1169917.2079767,1254935.7263156092,1158916.9288249214,1193006.5961933865,1251824.7902373085,1274215.7120515364,1222397.5282931805
2021-02-16,1175970.1944917452,1264158.8954058802,1159481.1695697866,1202433.7281704678,1255232.1770781288,1263613.321965706,1224896.0255974354
2021-02-17,1189627.361354233,1268866.646088711,1164310.7691219412,1205495.0851879849,1257451.280654789,1259122.995795819,1228404.8960559547
2021-02-18,1187451.1185411226,1263777.7777606165,1159512.9546829842,1199536.930852963,1253588.2483671913,1257924.058344124,1223753.6732562657
2021-02-19,1188074.4862893831,1267505.3324595606,1155892.0678147362,1203363.2700367703,1257328.932418705,1249604.782064011,1223792.5308432097
2021-02-22,1202812.881503464,1265213.414586178,1147839.1496691557,1203262.5034809841,1264067.9907301674,1230419.896411866,1224857.1680104916
2021-02-23,1210181.9076226961,1263897.412053219,1148765.341160214,1197123.7077389492,1267265.0320509681,1223641.7609426274,1225467.2776617447
2021-02-24,1222755.7972749483,1283745.9868174708,1172397.7439993217,1216501.1387081875,1287166.8023298988,1224699.9229135083,1241962.3233194093
2021-02-25,1210360.9285501253,1260525.6067629969,1146938.1908293082,1191829.72278793,1265282.367057682,1191289.3816657779,1220205.9452108026
2021-02-26,1183461.1160844576,1243759.0679064905,1135619.2610183111,1172440.030172421,1250066.702880741,1189757.2352452911,1201958.437560715
2021-03-01,1200639.5982583773,1270151.9570590174,1159454.7351694265,1192637.291914059,1278531.7614287147,1225380.4225127595,1225393.4330678065
2021-03-02,1194474.8223108065,1263943.2959185755,1154081.845292382,1186048.2445126309,1274000.6770094642,1209979.339867636,1219797.9405478921
2021-03-03,1198151.2437585604,1260396.3124171412,1149804.113470101,1179937.8781147732,1274648.7709807167,1188385.427678952,1215080.6143141638
2021-03-04,1186224.7151368868,1248759.06766235,1139417.0326388709,1169572.526102139,1259473.209648014,1172550.2024093329,1201635.8892315913
2021-03-05,1216857.3465150606,1272472.4078990137,1156184.287373246,1195374.2712956204,1279219.9844893226,1193054.4599353205,1223870.2460170973
2021-03-08,1231476.768321396,1282385.6152697718,1161440.6232614142,1202878.6279316677,1298675.4736937294,1179336.1105737044,1235764.5382018653
2021-03-09,1221445.4781678927,1286595.3319560206,1171607.2840815817,1210854.0207386746,1296203.956901432,1208085.1201376808,1236941.8775500292
2021-03-10,1239502.2987092745,1306234.1104479944,1193765.4304202124,1232557.447195126,1319494.7694548378,1206708.9853882028,1254983.485525549
2021-03-11,1231721.6376870882,1316254.0177813685,1203862.5851469315,1240648.7828007473,1327800.4069441566,1223950.4241066626,1262312.0112444141
2021-03-12,1248332.0398286593,1334616.8802271998,1218480.6773772857,1261360.0783634915,1347924.2572630653,1222330.5301554382,1273697.360112687
2021-03-15,1255256.4984658968,1335225.9256716883,1226208.4390695961,1267923.941511227,1353471.4355162391,1237319.6639691282,1280493.491354187
2021-03-16,1247642.4735101473,1326460.8876506006,1219902.2137572945,1258624.705133511,1343242.0839995155,1249694.3374290888,1275535.202545172
2021-03-17,1258930.811240555,1332801.4365550196,1232766.5287326819,1267307.008398129,1352680.0122755775,1241428.3744904057,1282898.7152710317
2021-03-18,1252407.949824692,1329391.1675540125,1217402.340800717,1264265.242521359,1350931.730804325,1226425.5992249819,1276949.7097823974
2021-03-19,1234960.009616257,1322118.3242198145,1208350.6422281386,1266936.093919827,1339172.3549956093,1221947.5052570915,1267845.3468039634
2021-03-22,1237684.9141420138,1321820.2970477259,1216255.6432855118,1269899.6912823452,1339474.4727629432,1240050.6102032708,1271855.419419079
2021-03-23,1228362.144229294,1310786.343491665,1204867.6059069259,1259029.4873944058,1324233.1095961342,1238625.5673592086,1259887.282640373
2021-03-24,1238255.9344247591,1311049.2137881434,1202053.113875096,1261494.8232136501,1323433.3281630287,1228749.3298485703,1259766.839299592
2021-03-25,1250640.4851640475,1318470.9707575953,1208736.6571722457,1271191.1044560208,1336251.2282789955,1232051.6176138977,1267515.0573149407
2021-03-26,1272426.1275933993,1335553.7060290491,1221603.2731296774,1289870.111257626,1350744.432494999,1249553.8497298998,1285133.0265203032
2021-03-29,1280161.3665612948,1338827.0227748072,1230002.0887754066,1297162.3892842068,1354142.9832304725,1251398.4278985842,1288960.4988342724
2021-03-30,1274218.317111374,1337841.2950831568,1219890.091847718,1293074.5683499111,1354081.9847639808,1241641.9207897552,1284903.827472314
2021-03-31,1264641.9005273592,1334169.0375109827,1223511.453475907,1292111.7439976467,1349286.4228514442,1252271.5223246412,1281585.4502622888
2021-04-01,1265386.6858209383,1339481.3530474817,1234296.7048238073,1295241.4153614773,1354760.2725294838,1263942.5421241028,
2021-04-05,1274752.08348024,1354519.8170481836,1255656.4696885992,1313040.4919834866,1369421.7624052772,1287815.090121269,1302786.0586263842
2021-04-06,1268013.153064133,1349751.781270138,1250615.1377647102,1305303.6527729763,1365221.7389754066,1284689.1695867886,1299016.8726928309
2021-04-07,1270097.6293290865,1350556.9354869043,1251305.4600436562,1304039.792898251,1365258.264778019,1292021.9869018486,1299642.5405576064
2021-04-08,1264539.9732202303,1355084.176430813,1254429.2170401046,1307116.4685955776,1368762.0122679481,1307014.9766983923,1301869.110646979
2021-04-09,1270342.7890275728,1370257.072713009,1259824.5625514267,1324985.4986744656,1379481.5587233314,1332623.5895808134,1313409.8139693025
2021-04-12,1269884.3462556612,1370064.4081126368,1255620.1622689674,1321554.289281918,1376928.4477461586,1324727.3377903996,1311264.753740043
2021-04-13,1265572.9900125277,1367309.8168498194,1261552.9500140122,1322636.9210415615,1371444.1555556068,1338513.0908860296,1308618.643141636
2021-04-14,1276228.966205002,1370384.816388241,1258134.7326878097,1323064.4380779995,1375901.9688185463,1326990.8449147767,1310701.3187293569
2021-04-15,1277391.5058130038,1385737.0597430384,1266651.4171035544,1337184.6368580593,1388945.0436171303,1352900.0592017323,1322556.8292209054
2021-04-16,1284996.2635530245,1392560.8112307703,1269490.7084528778,1342121.0142117275,1396348.6418074379,1356345.2765136622,1328956.6434330677
2021-04-19,1281471.89780748,1385325.3865443384,1262282.499385224,1335033.1163006558,1390975.3674772987,1355969.245430072,1324173.3655527493
2021-04-20,1281054.142566086,1369832.2565241968,1253503.8194800194,1327481.887228085,1374976.9744261513,1346543.4218737243,1314214.1356615503
2021-04-21,1293890.473376633,1382870.5091334498,1262218.8029535834,1340278.5541783108,1388315.7891386757,1355750.5776198427,1326493.1331358072
2021-04-22,1277745.3413842928,1370309.2611285364,1252986.6395465552,1330759.4008770718,1377351.4596251259,1344050.5223742053,1314004.2136195842
2021-04-23,1279930.5596879732,1381797.730500332,1266027.3499772116,1339429.6909542813,1390361.966491581,1361514.3139921816,1322848.2611229843
